,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
50,316005715.0,2023-01-01T00:00:00,49.3115,-123.10686,0.0,261.2,511.0,SEASPAN HAWK,IMO9072408,VG6972,31.0,0.0,25.0,9.0,2.5,52.0,A
51,338327705.0,2023-01-01T00:00:04,37.97117,-122.49912,0.0,46.0,511.0,MAI TAIM,IMO0000000,MAITAIM,37.0,,15.0,4.0,,,B
52,368231020.0,2023-01-01T00:00:02,47.65351,-122.31833,0.0,360.0,511.0,OLYMPUS,IMO0000000,WDM7113,37.0,,11.0,4.0,,,B
53,367680660.0,2023-01-01T00:00:03,27.92832,-82.42655,0.0,0.0,511.0,RAVEN,IMO8856285,WDI2683,30.0,15.0,23.0,6.0,,0.0,A
54,366893270.0,2023-01-01T00:00:03,36.90676,-76.08851,0.1,191.7,511.0,PATUXENT,,WDB3971,90.0,0.0,16.0,5.0,,50.0,A
55,367095660.0,2023-01-01T00:00:05,29.70632,-95.04077,0.0,282.7,269.0,STACY SHELBY,,WDC8962,31.0,0.0,22.0,7.0,,57.0,A
56,368086810.0,2023-01-01T00:00:03,28.33616,-95.70696,3.1,259.8,511.0,ST.FRANCIS II,IMO0000000,WDK7686,30.0,,40.0,12.0,,,B
57,366963860.0,2023-01-01T00:00:00,29.80142,-90.01005,0.0,260.8,511.0,OKALOOSA,IMO8992596,WDB8768,31.0,0.0,20.0,7.0,,31.0,A
58,367458610.0,2023-01-01T00:00:01,30.70971,-88.03657,0.0,257.5,52.0,TEMPLE HUCKABEE,,WDF5034,31.0,12.0,37.0,10.0,,52.0,A
59,366996740.0,2023-01-01T00:00:09,40.57144,-80.22916,0.0,50.0,151.0,LYDIA BRENT,,WDC2716,31.0,12.0,28.0,9.0,,57.0,A
60,368158770.0,2023-01-01T00:00:01,29.6719,-91.1349,0.0,213.8,324.0,RIVERS C,,WDL7280,97.0,0.0,20.0,8.0,2.9,97.0,A
61,311001094.0,2023-01-01T00:00:01,28.28428,-79.6363,24.6,0.8,2.0,CARNIVAL LEGEND,IMO9224726,C6FF2,60.0,0.0,293.0,40.0,8.2,60.0,A
62,368099990.0,2023-01-01T00:00:01,30.42364,-91.1959,0.6,360.0,511.0,JOHN OLIVER,,WDK9057,31.0,0.0,17.0,7.0,3.5,31.0,A
63,316001731.0,2023-01-01T00:00:00,49.15529,-123.0063,0.0,121.5,59.0,ALISON NICOLE I,IMO7406681,CFC6672,31.0,0.0,22.0,7.0,2.9,32.0,A
64,367445000.0,2023-01-01T00:00:00,30.60332,-88.03121,9.8,175.0,175.0,PATI R MORAN,IMO9398553,WDD9499,31.0,12.0,37.0,11.0,4.6,57.0,A
65,338180096.0,2023-01-01T00:00:05,34.16719,-119.22689,0.0,8.3,511.0,UNCOMMON SENSE,,,37.0,,14.0,,,,B
66,367463060.0,2023-01-01T00:00:04,47.33184,-122.50789,0.0,36.5,7.0,WSF CHETZEMOKA,IMO9347669,WDF5502,60.0,0.0,83.0,19.0,3.2,60.0,A
67,338353553.0,2023-01-01T00:00:05,27.69384,-82.92803,6.7,306.1,511.0,BRAVO,IMO0000000,BRAVO,36.0,,13.0,8.0,,,B
68,367129670.0,2023-01-01T00:00:03,39.64861,-91.26032,3.6,151.8,511.0,COWBOY CARL,,WDC2897,31.0,0.0,42.0,8.0,,31.0,A
69,367372810.0,2023-01-01T00:00:00,30.19787,-88.12027,0.4,163.9,511.0,SEA ANGEL,IMO9551222,WDE5879,60.0,0.0,48.0,9.0,,60.0,A
70,367782830.0,2023-01-01T00:00:04,47.63365,-122.33008,0.0,311.8,511.0,CAPT CAE,IMO7829780,WDJ4956,31.0,0.0,28.0,7.0,,32.0,A
71,367782610.0,2023-01-01T00:00:04,27.77697,-82.62299,0.0,360.0,511.0,LIFE AFTER LAND,IMO0000000,WDJ4934,37.0,,18.0,4.0,,,B
72,338319157.0,2023-01-01T00:00:04,31.04514,-81.42282,0.0,360.0,511.0,I'M GONE,IMO0000000,,36.0,,14.0,8.0,,,B
73,368048380.0,2023-01-01T00:00:02,33.75134,-118.11025,0.0,360.0,511.0,TAVISH B.,IMO0000000,WDK3754,37.0,,12.0,4.0,,,B
74,367653480.0,2023-01-01T00:00:01,29.83786,-90.04261,0.0,114.2,511.0,JUNIOR G,,WDH7979,31.0,0.0,12.0,5.0,,52.0,A
75,366989840.0,2023-01-01T00:00:02,37.06677,-89.16773,0.0,267.6,30.0,ALBOB,,WDC2233,31.0,0.0,18.0,7.0,,31.0,A
76,308808000.0,2023-01-01T00:00:02,33.79871,-119.05264,1.7,49.2,115.0,LAPIS ARROW,IMO9361809,C6VH5,70.0,0.0,175.0,31.0,8.8,70.0,A
77,338393843.0,2023-01-01T00:00:01,33.71998,-118.2819,0.1,145.1,511.0,WINE KNOT,IMO0000000,,37.0,,12.0,4.0,,,B
78,338246879.0,2023-01-01T00:00:05,48.38125,-122.51063,0.0,360.0,511.0,TANGAROA,IMO0000000,,37.0,,10.0,3.0,,,B
79,368276220.0,2023-01-01T00:00:06,47.6813,-122.40587,0.0,296.2,168.0,UPPER LEFT,IMO0000000,WDN3913,37.0,,12.0,4.0,,,B
80,367469290.0,2023-01-01T00:00:05,25.88697,-80.05251,9.0,184.4,182.0,MAKO,IMO9579896,WDG9743,31.0,0.0,35.0,10.0,4.4,57.0,A
81,367775320.0,2023-01-01T00:00:04,30.0441,-90.67123,7.3,238.5,511.0,LOUISIANA TRANSPORTE,,WDJ4190,31.0,0.0,,,,31.0,A
82,367638590.0,2023-01-01T00:00:05,29.73088,-95.05087,0.0,248.5,302.0,DENNIS CHAMBERS,,WDH6497,90.0,12.0,21.0,9.0,,52.0,A
83,367533170.0,2023-01-01T00:00:01,37.05889,-88.5537,0.0,360.0,511.0,RONALD L SENSENBACH,IMO8845339,WDG4119,31.0,12.0,37.0,10.0,,57.0,A
84,367728720.0,2023-01-01T00:00:05,29.91802,-90.06942,0.0,280.2,240.0,WICHITA,,WDI7437,31.0,12.0,25.0,10.0,,57.0,A
85,366998510.0,2023-01-01T00:00:08,37.82192,-122.31138,0.0,306.3,282.0,LIBERTY,IMO7717626,WDC2845,31.0,11.0,29.0,9.0,3.9,31.0,A
86,368170010.0,2023-01-01T00:00:07,41.50897,-88.09682,0.0,212.7,318.0,MISS ANDREA,IMO1302674,WDL8494,52.0,12.0,221.0,18.0,3.0,52.0,A
87,367681460.0,2023-01-01T00:00:08,37.18497,-89.06402,0.0,85.2,511.0,ST JAMES,,WDI2761,31.0,0.0,23.0,,,31.0,A
88,368219010.0,2023-01-01T00:00:07,39.27412,-76.59914,0.0,203.1,204.0,VENGEANCE,,WDM5765,57.0,0.0,23.0,7.0,2.9,57.0,A
89,338415351.0,2023-01-01T00:00:08,27.36872,-82.61791,0.0,360.0,511.0,WINE DOWN,IMO0000000,,37.0,,16.0,5.0,,,B
90,367070360.0,2023-01-01T00:00:08,46.16701,-123.91737,1.0,178.3,511.0,SOJOURN,,WDC7370,30.0,,17.0,6.0,,,B
91,338145694.0,2023-01-01T00:00:04,33.97115,-118.44654,0.0,195.3,348.0,BAYWATCH 15,,,90.0,15.0,9.0,,,50.0,A
92,367179990.0,2023-01-01T00:00:04,40.63957,-74.19126,0.0,7.5,57.0,MARJORIE B MCALLISTE,IMO7391020,WDD6957,31.0,0.0,32.0,9.0,3.9,52.0,A
93,368271430.0,2023-01-01T00:00:00,27.33261,-82.54555,0.0,360.0,511.0,DOLCE FAR NIENTE,IMO0000000,WDN3412,37.0,,65.0,18.0,,,B
94,366936950.0,2023-01-01T00:00:00,32.38679,-90.88514,0.0,252.4,117.0,LINDA TAYLOR,,WDB7132,31.0,12.0,31.0,9.0,,52.0,A
95,367332930.0,2023-01-01T00:00:04,29.57245,-90.5938,0.0,360.0,279.0,JACKIE GONSOULIN,,WDE3014,31.0,0.0,21.0,9.0,,57.0,A
96,368205880.0,2023-01-01T00:00:02,29.96889,-93.86024,0.0,202.7,511.0,NICHOLAS VETO,,WDM4383,57.0,12.0,99.0,16.0,2.1,57.0,A
97,369378000.0,2023-01-01T00:00:01,32.83709,-79.92831,0.4,192.9,511.0,G.L. 58,,WDK5866,90.0,3.0,96.0,40.0,2.4,90.0,A
98,367007480.0,2023-01-01T00:00:02,28.89498,-95.40473,0.2,43.2,511.0,BROWN WATER I,,WDC3411,31.0,0.0,16.0,6.0,,31.0,A
99,368101240.0,2023-01-01T00:00:01,47.62898,-122.39463,0.0,360.0,511.0,HIGH FIVE,IMO0000000,WDK9185,36.0,,13.0,4.0,,,B
100,367160030.0,2023-01-01T00:00:01,29.16155,-94.51692,13.2,323.5,511.0,KING ARTHUR,,WDD5554,60.0,0.0,30.0,7.0,,0.0,A
101,367558150.0,2023-01-01T00:00:01,29.87688,-89.90389,10.0,196.6,202.0,UNCLE SAM,,WDG6543,31.0,12.0,21.0,,,57.0,A
102,338248055.0,2023-01-01T00:00:00,36.93337,-76.32684,0.0,360.0,511.0,COASTAL PRIDE,IMO0000000,,34.0,,20.0,6.0,,,B
103,316001193.0,2023-01-01T00:00:06,48.89516,-123.14599,9.0,133.8,132.0,OCEAN YALETOWN,IMO9901922,,52.0,0.0,23.0,12.0,4.4,52.0,A
104,368124740.0,2023-01-01T00:00:07,47.73336,-122.64775,0.0,360.0,511.0,CHEERS,IMO0000000,WDL3760,37.0,,12.0,6.0,,,B
105,367702530.0,2023-01-01T00:00:07,30.01167,-90.73376,0.0,60.1,196.0,SAFETY SPIRIT,,WDI4836,31.0,0.0,21.0,8.0,,31.0,A
106,368083560.0,2023-01-01T00:00:07,27.88258,-97.04497,0.0,261.6,162.0,TOM GREEN,,WDK7348,52.0,0.0,23.0,10.0,2.6,57.0,A
107,303517000.0,2023-01-01T00:00:02,26.71772,-91.42463,0.1,223.0,205.0,JOSHUA CANDIES,IMO9551636,WJCD,90.0,0.0,86.0,18.0,6.2,90.0,A
108,338075892.0,2023-01-01T00:00:01,43.65319,-70.25299,0.0,339.8,511.0,PILOT BOAT SPRING PT,,WDB8945,90.0,0.0,0.0,0.0,0.0,90.0,A
109,368005890.0,2023-01-01T00:00:02,36.93388,-89.10036,5.5,71.5,61.0,HARVEST PRIDE,,WDJ7353,31.0,0.0,,,,31.0,A
110,367796050.0,2023-01-01T00:00:01,40.68625,-74.07763,0.0,313.6,221.0,SEA LION,,WDJ6266,31.0,0.0,19.0,6.0,,31.0,A
111,368141110.0,2023-01-01T00:00:01,37.04675,-88.54019,0.0,315.6,137.0,STEVEN E FURLONG,,WDL5443,57.0,12.0,345.0,33.0,2.8,57.0,A
112,636017582.0,2023-01-01T00:00:06,39.38837,-72.92443,1.2,28.3,116.0,MSC SENA,IMO9116369,D5LQ7,70.0,0.0,201.0,30.0,9.9,70.0,A
113,367675010.0,2023-01-01T00:00:06,47.66344,-122.39147,0.0,360.0,511.0,MAKO,IMO8991530,WDI2127,30.0,,20.0,6.0,,,B
114,367003820.0,2023-01-01T00:00:07,29.67796,-91.46494,4.1,293.7,511.0,PHILOMENE P PERERA,,WDD4757,31.0,0.0,15.0,7.0,,31.0,A
115,367348670.0,2023-01-01T00:00:07,33.61072,-117.92404,0.0,0.0,511.0,DAUNTLESS,,WDE4094,37.0,,15.0,4.0,,,B
116,368152190.0,2023-01-01T00:00:03,18.45973,-66.0896,0.0,77.9,511.0,ELEMY,IMO0000000,WDL6586,36.0,,15.0,4.0,,,B
117,366892000.0,2023-01-01T00:00:02,33.762,-118.21954,7.6,338.5,341.0,JAMIE ANN,,WDL5109,52.0,0.0,31.0,12.0,5.7,52.0,A
118,338247363.0,2023-01-01T00:00:07,25.78332,-80.2152,0.8,157.3,511.0,BALLYHOO,IMO0000000,,37.0,,24.0,7.0,,,B
119,267188530.0,2023-01-01T00:00:05,35.08957,-90.10545,0.0,96.0,511.0,FLETCHER ARMSTRONG,,WTL7572,31.0,0.0,0.0,0.0,2.4,31.0,A
120,316049198.0,2023-01-01T00:00:02,26.83766,-80.05429,0.0,91.9,511.0,ETSIA,IMO0000000,CFA3717,36.0,,13.0,4.0,,,B
121,367711410.0,2023-01-01T00:00:01,32.33332,-90.8963,0.0,233.9,347.0,DAVE DAVENPORT,,WDI5719,31.0,12.0,17.0,6.0,,31.0,A
122,316037728.0,2023-01-01T00:00:09,48.40202,-123.32892,18.9,251.7,511.0,SALISH SHADOW,IMO0000000,,37.0,,10.0,3.0,,,B
123,374026000.0,2023-01-01T00:00:01,29.28007,-89.35234,11.7,148.8,151.0,CHEMICAL HUNTER,IMO9758789,H8QG,80.0,0.0,134.0,,,82.0,A
124,367426950.0,2023-01-01T00:00:01,29.46288,-94.8503,8.4,151.6,511.0,INTEGRITY,,WDF9138,31.0,0.0,26.0,9.0,,52.0,A
125,227109660.0,2023-01-01T00:00:05,21.27012,-157.84535,4.5,73.5,511.0,SPIRIT OF PONTAPRETA,IMO0000000,FAA3149,36.0,,14.0,8.0,,,B
126,316004458.0,2023-01-01T00:00:06,48.58587,-123.31189,1.1,157.9,511.0,QUEEN OF HEARTS,IMO0000000,,60.0,,9.0,3.0,,,B
127,366951110.0,2023-01-01T00:00:04,30.08689,-90.90666,0.0,280.1,511.0,MISS GINGER,,WCP9775,31.0,0.0,17.0,7.0,,0.0,A
128,367649160.0,2023-01-01T00:00:03,30.28427,-87.56328,0.1,11.3,511.0,SHOCKWAVE,IMO0000000,WDH7537,37.0,,0.0,0.0,,,B
129,368033820.0,2023-01-01T00:00:02,29.94754,-90.01644,7.9,119.4,119.0,EVERETT C,,WDK2252,52.0,0.0,24.0,10.0,10.0,52.0,A
130,338404249.0,2023-01-01T00:00:04,33.60475,-117.88484,0.2,360.0,511.0,SWARTY4,IMO0000000,,37.0,,8.0,3.0,,,B
131,368274430.0,2023-01-01T00:00:05,35.13529,-90.13923,0.0,170.8,83.0,DAVID WORK,,WDN3726,31.0,12.0,32.0,8.0,0.0,31.0,A
132,441357000.0,2023-01-01T00:00:01,48.3281,-126.35355,14.9,66.3,65.0,K.ASIAN BEAUTY,IMO9070462,D7VV,70.0,0.0,184.0,30.0,8.4,70.0,A
133,316043105.0,2023-01-01T00:00:02,48.45179,-123.29412,0.0,0.0,511.0,RHAPSODY,IMO0000000,,36.0,,8.0,4.0,,,B
134,368072410.0,2023-01-01T00:00:03,30.31231,-87.57249,0.0,60.0,511.0,C YA,IMO0000000,,37.0,,22.0,6.0,,,B
135,366927640.0,2023-01-01T00:00:02,30.03879,-90.67845,0.1,360.0,511.0,ROOSTER II,,WUR5381,60.0,0.0,13.0,4.0,,50.0,A
136,235010450.0,2023-01-01T00:00:01,42.74202,-125.29703,15.9,1.0,2.0,EVER SMART,IMO9300403,MLBD9,70.0,0.0,299.0,42.0,14.2,70.0,A
137,367516470.0,2023-01-01T00:00:06,43.37203,-124.21033,0.0,360.0,511.0,OREGON ESCORT,IMO9153329,WDG2521,31.0,0.0,33.0,12.0,4.4,52.0,A
138,367680370.0,2023-01-01T00:00:03,37.37901,-76.16682,7.9,186.9,511.0,COASTAL TRADER,,WDI2655,31.0,0.0,21.0,8.0,,90.0,A
139,366984320.0,2023-01-01T00:00:02,35.08954,-90.17558,0.0,73.0,180.0,CRIMSON GEM,,WDB9875,31.0,12.0,59.0,16.0,,57.0,A
140,367036190.0,2023-01-01T00:00:04,40.4333,-74.07908,0.0,248.9,135.0,MARTHA'S VINEYARD EX,IMO1167238,WDC5128,40.0,0.0,0.0,0.0,2.1,40.0,A
141,563090500.0,2023-01-01T00:00:00,34.22712,-119.92925,11.3,286.2,280.0,MAERSK EDIRNE,IMO9502867,9V6463,70.0,0.0,366.0,48.0,11.4,70.0,A
142,366993270.0,2023-01-01T00:00:02,29.78762,-95.06865,0.2,309.7,336.0,DANIELLE GUIDRY,,WDC2442,31.0,0.0,16.0,6.0,,57.0,A
143,367004510.0,2023-01-01T00:00:00,29.98082,-90.40239,3.1,318.0,321.0,BAYOU BLACK,,WDA2716,31.0,15.0,18.0,7.0,,31.0,A
144,368070920.0,2023-01-01T00:00:01,29.64909,-91.12266,4.0,336.5,340.0,UNCLE BLUE,IMO8644450,WDK6068,38.0,12.0,0.0,0.0,2.3,38.0,A
145,366997820.0,2023-01-01T00:00:08,29.93569,-90.35079,4.4,105.6,511.0,KRISTIN ALEXIS,IMO8635784,WDC2794,31.0,0.0,18.0,7.0,,31.0,A
146,366991740.0,2023-01-01T00:00:06,29.32014,-94.78523,0.0,289.0,302.0,TEXAS,,WDC2352,50.0,9.0,21.0,6.0,,50.0,A
147,366988580.0,2023-01-01T00:00:09,38.53977,-90.25043,0.0,107.7,511.0,TERRY GIFFORD,,WDC2142,31.0,0.0,19.0,7.0,,57.0,A
148,367646810.0,2023-01-01T00:00:04,25.77845,-80.09237,0.0,172.6,172.0,EMERY ZIDELL,IMO9767924,WDH7301,31.0,0.0,35.0,10.0,,90.0,A
149,367109430.0,2023-01-01T00:00:02,32.082,-81.06295,0.0,143.0,271.0,WHIRLAWAY,,WDC9981,31.0,15.0,20.0,7.0,,52.0,A
150,368225320.0,2023-01-01T00:00:02,40.4828,-80.05625,0.0,295.6,511.0,HALEY MICHELLE,,WDM6444,57.0,0.0,20.0,7.0,3.0,57.0,A
151,367552410.0,2023-01-01T00:00:03,39.25567,-76.55017,0.0,188.0,511.0,ANNABELLE DOROTHY MO,IMO9650406,WDG5993,31.0,0.0,26.0,10.0,,57.0,A
152,366996040.0,2023-01-01T00:00:01,39.92292,-90.53657,0.0,286.4,10.0,CITY OF JOLIET,IMO8408349,WDC2653,31.0,12.0,43.0,13.0,2.7,57.0,A
153,477014600.0,2023-01-01T00:00:06,49.01985,-123.15108,0.4,38.4,34.0,SEASPAN DALIAN,IMO9227027,VRBH4,70.0,0.0,259.0,32.0,12.6,71.0,A
154,316009843.0,2023-01-01T00:00:06,48.41478,-123.38584,0.0,23.5,511.0,J R W,,,31.0,0.0,12.0,5.0,0.6,52.0,A
155,368253140.0,2023-01-01T00:00:06,29.8648,-89.92931,0.0,242.5,511.0,BC PUSHER 4,,WDM9489,52.0,0.0,17.0,7.0,3.0,52.0,A
156,477112900.0,2023-01-01T00:00:04,48.77953,-122.75533,10.4,193.1,195.0,ORIENTAL KING,IMO9804253,VRQZ7,80.0,0.0,225.0,37.0,10.1,80.0,A
157,367341010.0,2023-01-01T00:00:03,41.79507,-87.44634,12.0,208.5,208.0,MANITOWOC,IMO7366398,WDE3569,70.0,0.0,192.0,20.0,7.8,70.0,A
158,366942880.0,2023-01-01T00:00:02,28.91596,-95.27612,7.8,137.8,135.0,NEWPORT,IMO8308616,WRC2930,90.0,3.0,80.0,16.0,5.1,33.0,A
159,366982180.0,2023-01-01T00:00:00,32.68651,-117.13353,0.0,360.0,511.0,C-TRACTOR 10,,WCO3210,52.0,0.0,25.0,10.0,0.0,52.0,A
160,367797260.0,2023-01-01T00:00:00,40.77803,-73.94191,4.3,207.7,207.0,H208,,WDJ6389,60.0,0.0,,,,69.0,A
161,367606910.0,2023-01-01T00:00:01,38.28981,-85.69316,7.3,62.4,59.0,KELLE B,,WDH3391,31.0,12.0,21.0,,,31.0,A
